"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"109002","Amandola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3266,"e","dato stimato"
"078010","Amantea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",13850,"e","dato stimato"
"030002","Amaro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",851,"e","dato stimato"
"079003","Amaroni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1660,"e","dato stimato"
"060005","Amaseno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4094,"e","dato stimato"
"079004","Amato","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",793,"e","dato stimato"
"057002","Amatrice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2251,"e","dato stimato"
"016009","Ambivere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2342,"e","dato stimato"
"011001","Ameglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4293,"e","dato stimato"
"055004","Amelia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",11547,"e","dato stimato"
"078011","Amendolara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2719,"e","dato stimato"
"003002","Ameno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",852,"e","dato stimato"
"062002","Amorosi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2619,"e","dato stimato"
"030003","Ampezzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",909,"e","dato stimato"
"063004","Anacapri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",6835,"e","dato stimato"
"060006","Anagni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",20734,"e","dato stimato"
"067002","Ancarano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1824,"e","dato stimato"
"079005","Andali","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",637,"e","dato stimato"
"022005","Andalo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1147,"e","dato stimato"
"014003","Andalo Valtellino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",590,"e","dato stimato"
"001009","Andezeno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2012,"e","dato stimato"
"009006","Andora","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",7267,"e","dato stimato"
"096002","Andorno Micca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3033,"e","dato stimato"
"075005","Andrano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4533,"e","dato stimato"
"001010","Andrate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",479,"e","dato stimato"
