"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"ITG27","Cagliari","LIFEXP","life expectancy - ex","9","total","Y32","32 years","2021","2021",52.291,,
"ITF34","Avellino","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",48.315,,
"ITG11","Trapani","LIFEXP","life expectancy - ex","9","total","Y35","35 years","2021","2021",47.433,,
"ITG12","Palermo","LIFEXP","life expectancy - ex","9","total","Y35","35 years","2021","2021",46.966,,
"ITG15","Caltanissetta","LIFEXP","life expectancy - ex","9","total","Y35","35 years","2021","2021",46.371,,
"ITF51","Potenza","LIFEXP","life expectancy - ex","9","total","Y36","36 years","2021","2021",46.949,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y37","37 years","2021","2021",47.056,,
"ITF44","Brindisi","LIFEXP","life expectancy - ex","9","total","Y38","38 years","2021","2021",45.306,,
"ITG12","Palermo","LIFEXP","life expectancy - ex","9","total","Y38","38 years","2021","2021",44.032,,
"ITF52","Matera","LIFEXP","life expectancy - ex","9","total","Y39","39 years","2021","2021",44.517,,
"ITG12","Palermo","LIFEXP","life expectancy - ex","9","total","Y39","39 years","2021","2021",43.056,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y40","40 years","2021","2021",42.076,,
"ITF12","Teramo","LIFEXP","life expectancy - ex","9","total","Y41","41 years","2021","2021",42.556,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y42","42 years","2021","2021",40.299,,
"ITD41","Pordenone","LIFEXP","life expectancy - ex","9","total","Y43","43 years","2021","2021",41.059,,
"ITF11","L'Aquila","LIFEXP","life expectancy - ex","9","total","Y44","44 years","2021","2021",39.574,,
"ITF61","Cosenza","LIFEXP","life expectancy - ex","9","total","Y45","45 years","2021","2021",37.62,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y46","46 years","2021","2021",38.37,,
"ITD53","Reggio nell'Emilia","LIFEXP","life expectancy - ex","9","total","Y47","47 years","2021","2021",37.249,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y47","47 years","2021","2021",35.537,,
"ITD59","Rimini","LIFEXP","life expectancy - ex","9","total","Y48","48 years","2021","2021",36.282,,
"ITF51","Potenza","LIFEXP","life expectancy - ex","9","total","Y48","48 years","2021","2021",35.496,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y50","50 years","2021","2021",32.713,,
"ITF63","Catanzaro","LIFEXP","life expectancy - ex","9","total","Y51","51 years","2021","2021",32.842,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y51","51 years","2021","2021",31.676,,
"ITF22","Campobasso","LIFEXP","life expectancy - ex","9","total","Y52","52 years","2021","2021",30.907,,
"ITF41","Foggia","LIFEXP","life expectancy - ex","9","total","Y52","52 years","2021","2021",30.971,,
"ITF52","Matera","LIFEXP","life expectancy - ex","9","total","Y52","52 years","2021","2021",32.315,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y53","53 years","2021","2021",31.785,,
"ITF11","L'Aquila","LIFEXP","life expectancy - ex","9","total","Y53","53 years","2021","2021",31.152,,
"ITG11","Trapani","LIFEXP","life expectancy - ex","9","total","Y53","53 years","2021","2021",30.359,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y53","53 years","2021","2021",29.86,,
"ITD41","Pordenone","LIFEXP","life expectancy - ex","9","total","Y54","54 years","2021","2021",30.589,,
"ITF35","Salerno","LIFEXP","life expectancy - ex","9","total","Y54","54 years","2021","2021",29.215,,
"ITG28","Oristano","LIFEXP","life expectancy - ex","9","total","Y54","54 years","2021","2021",30.155,,
"ITC49","Lodi","LIFEXP","life expectancy - ex","9","total","Y55","55 years","2021","2021",29.278,,
"ITF12","Teramo","LIFEXP","life expectancy - ex","9","total","Y55","55 years","2021","2021",29.36,,
"ITG18","Ragusa","LIFEXP","life expectancy - ex","9","total","Y57","57 years","2021","2021",27.212,,
"ITG25","Sassari","LIFEXP","life expectancy - ex","9","total","Y57","57 years","2021","2021",27.658,,
"ITF41","Foggia","LIFEXP","life expectancy - ex","9","total","Y59","59 years","2021","2021",24.745,,
"ITF43","Taranto","LIFEXP","life expectancy - ex","9","total","Y59","59 years","2021","2021",24.903,,
"ITF61","Cosenza","LIFEXP","life expectancy - ex","9","total","Y60","60 years","2021","2021",24.062,,
"ITG25","Sassari","LIFEXP","life expectancy - ex","9","total","Y60","60 years","2021","2021",25.049,,
"ITG26","Nuoro","LIFEXP","life expectancy - ex","9","total","Y60","60 years","2021","2021",24.74,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y61","61 years","2021","2021",24.493,,
"ITF11","L'Aquila","LIFEXP","life expectancy - ex","9","total","Y61","61 years","2021","2021",23.97,,
"ITF21","Isernia","LIFEXP","life expectancy - ex","9","total","Y61","61 years","2021","2021",23.317,,
"ITF41","Foggia","LIFEXP","life expectancy - ex","9","total","Y61","61 years","2021","2021",23.05,,
"ITG14","Agrigento","LIFEXP","life expectancy - ex","9","total","Y62","62 years","2021","2021",22.12,,
"ITG28","Oristano","LIFEXP","life expectancy - ex","9","total","Y62","62 years","2021","2021",23.344,,
"ITG16","Enna","LIFEXP","life expectancy - ex","9","total","Y63","63 years","2021","2021",21.522,,
"ITE11","Massa-Carrara","LIFEXP","life expectancy - ex","9","total","Y64","64 years","2021","2021",21.355,,
"ITG12","Palermo","LIFEXP","life expectancy - ex","9","total","Y64","64 years","2021","2021",20.305,,
"ITF44","Brindisi","LIFEXP","life expectancy - ex","9","total","Y65","65 years","2021","2021",20.536,,
